"Âge","taille_commune","rev_mens_net","dist_centreco","source_rev","dip_sup_brev","niv_dipl","depenses_mens","pref_emplettes","paylignmonth","restpermonth","binarachalist","priplafcompul","binarpayelec","elecpaytype","paiem_elec_mois","nbapppayelec","montantpertransac","plaisirpermonth","revenus","Sexe","achat_hors_liste","utilisateur_elec","diplom","niv_dip","payelecpermonth","CB","pay_mob","QR","E_wallet","taille_ville","taille_ville2"
20,"Grande Ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",5,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3)",450,"En physique, dans un magasin",5,"6","Non",2,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",21,1,450,120,218,0,0,1,1,4,"Entre 16 et 30",1,1,0,0,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3)",200,"En ligne",4,"3","Non",15,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes, néobanques, …)",16,4,30,100,203,0,0,1,1,4,"Entre 16 et 30",1,1,0,1,35000,35
22,"Commune de moins de 5000 habitants","Entre 0 et 500€",15,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3)",100,"En ligne",1,"5","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",12,2,20,50,320,0,1,1,1,4,"Entre 1 et 15",1,1,0,1,2500,2.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3)",300,"En ligne et en physique",15,"3","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",3,2,15,175,1026,1,0,1,1,4,"Entre 1 et 15",1,1,0,1,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne et en physique",3,"4","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",13,3,15,200,829,1,1,1,1,4,"Entre 1 et 15",1,1,0,0,35000,35
18,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",10,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 4 (Baccalauréat)",100,"En ligne et en physique",1,"2","Oui",20,1,"Carte Bancaire, sans contact",3,1,10,40,217,0,1,1,1,2,"Entre 1 et 15",1,0,0,0,35000,35
23,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",2,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",700,"En physique, dans un magasin",5,"4","Non",50,1,"Paiement Mobile (ApplePay, GooglePay, …)",5,1,20,200,1244,1,0,1,1,4,"Entre 1 et 15",0,1,0,0,12500,12.5
26,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",1000,"En ligne et en physique",1,"3","Non",50,1,"Carte Bancaire, sans contact",2,1,10,50,1383,1,0,1,1,4,"Entre 1 et 15",1,0,0,0,35000,35
22,"Très grande ville (+ de 200 000 habitants)","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",800,"En ligne et en physique",5,"4","Non",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",41,2,10,100,1878,1,0,1,1,4,"Entre 31 et 45",1,1,0,0,1500000,1500
23,"Commune de moins de 5000 habitants","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",500,"En physique, dans un magasin",10,"15","Non",100,0,NA,0,0,17,300,1959,0,0,0,1,4,"0",0,0,0,0,2500,2.5
22,"Très grande ville (+ de 200 000 habitants)","Entre 0 et 500€",20,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",80,"En physique, dans un magasin",3,"6","Non",50,1,"Carte Bancaire, sans contact",7,1,15,50,290,0,0,1,1,4,"Entre 1 et 15",1,0,0,0,1500000,1500
21,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 0 et 500€",30,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",120,"En physique, dans un magasin",1,"2","Oui",50,1,"Carte Bancaire, sans contact",8,1,40,40,427,1,1,1,1,4,"Entre 1 et 15",1,0,0,0,12500,12.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",30,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",300,"En ligne et en physique",5,"5","Non",30,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",3,1,15,50,626,1,0,1,1,4,"Entre 1 et 15",1,1,0,0,35000,35
20,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",10,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",100,"En ligne et en physique",1,"2","Non",30,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",2,2,10,60,392,1,0,1,1,4,"Entre 1 et 15",1,0,0,1,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",30,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",70,"En ligne et en physique",6,"3","Oui",10,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",6,1,2,20,393,1,1,1,1,4,"Entre 1 et 15",1,1,0,0,35000,35
21,"Commune de moins de 5000 habitants","Entre 0 et 500€",12,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",150,"En physique, dans un magasin",3,"6","Oui",300,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",22,3,65,100,363,1,1,1,1,4,"Entre 16 et 30",1,1,0,0,2500,2.5
